beaten_0,gain_0,beaten_1,gain_1,beaten_2,gain_2,beaten_3,gain_3,beaten_4,gain_4,beaten_5,gain_5,beaten_6,gain_6,beaten_7,gain_7
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,6,178.80000000000103,6,132.20000000000127,6,63.60000000000106,6,55.000000000001066,6,20.40000000000103
