beaten_0,gain_0,beaten_1,gain_1,beaten_2,gain_2,beaten_3,gain_3,beaten_4,gain_4,beaten_5,gain_5,beaten_6,gain_6,beaten_7,gain_7,beaten_8,gain_8,beaten_9,gain_9,beaten_10,gain_10,beaten_11,gain_11,beaten_12,gain_12,beaten_13,gain_13,beaten_14,gain_14,beaten_15,gain_15,beaten_16,gain_16,beaten_17,gain_17,beaten_18,gain_18,beaten_19,gain_19,beaten_20,gain_20,beaten_21,gain_21,beaten_22,gain_22,beaten_23,gain_23,beaten_24,gain_24,beaten_25,gain_25,beaten_26,gain_26,beaten_27,gain_27,beaten_28,gain_28,beaten_29,gain_29,beaten_30,gain_30,beaten_31,gain_31,beaten_32,gain_32,beaten_33,gain_33,beaten_34,gain_34,beaten_35,gain_35,beaten_36,gain_36,beaten_37,gain_37,beaten_38,gain_38,beaten_39,gain_39,beaten_40,gain_40,beaten_41,gain_41,beaten_42,gain_42,beaten_43,gain_43,beaten_44,gain_44,beaten_45,gain_45
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,5,169.80000000000115,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,26.60000000000113,5,-11.199999999998852,5,-1.5999999999991985,5,-62.199999999998965,5,-17.799999999998846,5,33.2000000000011,5,45.60000000000106,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-30.39999999999887,5,-33.99999999999895,5,-44.599999999998914,5,47.2000000000011,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-20.39999999999893,5,-68.599999999999,5,-70.59999999999903,5,-84.39999999999893,5,-44.39999999999894,5,-98.19999999999897,5,-112.59999999999896,5,-117.79999999999902,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,5,169.80000000000115,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,26.60000000000113,5,-11.199999999998852,5,-1.5999999999991985,5,-62.199999999998965,5,-17.799999999998846,5,33.2000000000011,5,45.60000000000106,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-30.39999999999887,5,-33.99999999999895,5,-44.599999999998914,5,47.2000000000011,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-20.39999999999893,5,-68.599999999999,5,-70.59999999999903,5,-84.39999999999893,5,-44.39999999999894,5,-98.19999999999897,5,-112.59999999999896,5,-117.79999999999902,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,5,169.80000000000115,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-62.199999999998965,5,-17.799999999998846,5,33.2000000000011,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-30.39999999999887,5,-33.99999999999895,5,-44.599999999998914,5,47.2000000000011,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.799999999998903,5,-68.599999999999,5,-70.59999999999903,5,-84.39999999999893,5,-44.39999999999894,5,-98.19999999999897,5,-112.59999999999896,5,-117.79999999999902,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,5,169.80000000000115,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-62.199999999998965,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-33.99999999999895,5,-44.599999999998914,5,47.2000000000011,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.799999999998903,5,-68.599999999999,5,-70.59999999999903,5,-84.39999999999893,5,-44.39999999999894,5,-98.19999999999897,5,-112.59999999999896,5,-117.79999999999902,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,5,169.80000000000115,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-33.99999999999895,5,-44.599999999998914,5,47.2000000000011,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-84.39999999999893,5,-44.39999999999894,5,-98.19999999999897,5,-112.59999999999896,5,-117.79999999999902,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,5,169.80000000000115,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-33.99999999999895,5,-44.599999999998914,5,47.2000000000011,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-84.39999999999893,5,-42.59999999999894,5,-98.19999999999897,5,-112.59999999999896,5,-117.79999999999902,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,5,169.80000000000115,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-33.99999999999895,5,-44.599999999998914,5,47.2000000000011,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-84.39999999999893,5,-42.59999999999894,5,-98.19999999999897,5,-112.59999999999896,5,-117.79999999999902,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,5,169.80000000000115,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-33.99999999999895,5,-44.599999999998914,5,49.00000000000111,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-84.39999999999893,5,-42.59999999999894,5,-98.19999999999897,5,-112.59999999999896,5,-117.79999999999902,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,5,169.80000000000115,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-33.99999999999895,5,-44.599999999998914,5,49.00000000000111,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-82.59999999999894,5,-42.59999999999894,5,-98.19999999999897,5,-112.59999999999896,5,-103.39999999999898,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,5,169.80000000000115,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-33.99999999999895,5,-44.599999999998914,5,49.00000000000111,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-82.59999999999894,5,-19.599999999998943,5,-98.19999999999897,5,-112.59999999999896,5,-103.39999999999898,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,6,224.80000000000103,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,70.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-33.99999999999895,5,-44.599999999998914,5,49.00000000000111,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-82.59999999999894,5,-19.599999999998943,5,-98.19999999999897,5,-104.39999999999898,5,-103.39999999999898,5,-154.79999999999902
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,6,224.80000000000103,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,86.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-33.99999999999895,5,-44.599999999998914,5,49.00000000000111,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-80.79999999999893,5,-19.599999999998943,5,-98.19999999999897,5,-104.39999999999898,5,-41.99999999999896,5,-127.999999999999
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,6,224.80000000000103,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,86.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-33.99999999999895,5,-44.599999999998914,5,59.60000000000109,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-80.79999999999893,5,-19.599999999998943,5,-98.19999999999897,5,-104.39999999999898,5,-41.99999999999896,5,-126.799999999999
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,6,224.80000000000103,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,5,113.6000000000008,5,86.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-30.99999999999895,5,-44.599999999998914,5,59.60000000000109,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-80.79999999999893,5,-19.599999999998943,5,-98.19999999999897,5,-104.39999999999898,5,-41.99999999999896,5,-126.799999999999
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,6,224.80000000000103,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,6,103.60000000000105,5,86.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-30.199999999998965,5,-25.399999999998897,5,59.60000000000109,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-80.79999999999893,5,-13.399999999998954,5,-98.19999999999897,5,-104.39999999999898,5,-41.99999999999896,5,-126.799999999999
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,6,224.80000000000103,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,6,103.60000000000105,5,86.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,74.40000000000111,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-30.199999999998965,5,-25.399999999998897,5,59.60000000000109,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-70.59999999999903,5,-80.79999999999893,5,-13.399999999998954,5,-98.19999999999897,5,-103.19999999999898,5,-41.99999999999896,5,-126.799999999999
7,348.00000000000085,7,328.6000000000012,6,253.8000000000009,5,190.6000000000011,5,180.8000000000008,6,178.80000000000103,6,224.80000000000103,5,151.60000000000088,5,150.20000000000084,7,151.00000000000125,5,118.80000000000118,6,103.60000000000105,5,86.80000000000109,5,67.60000000000116,6,63.60000000000106,5,61.600000000001,5,57.0000000000008,6,55.000000000001066,5,32.40000000000117,6,20.40000000000103,5,37.80000000000112,5,-11.199999999998852,5,-1.5999999999991985,5,-58.79999999999893,5,-17.799999999998846,5,-54.39999999999923,5,19.60000000000103,5,-24.599999999998985,5,-29.799999999998875,5,-30.39999999999884,5,-20.39999999999884,5,-22.59999999999897,5,-25.399999999998897,5,59.60000000000109,5,-61.599999999998886,5,-56.39999999999887,5,-65.19999999999891,5,-16.19999999999891,5,-68.599999999999,5,-67.59999999999904,5,-80.79999999999893,5,-13.399999999998954,5,-98.19999999999897,5,-103.19999999999898,5,-41.99999999999896,5,-126.799999999999
